"REF_DATE","GEO","DGUID","Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Newfoundland and Labrador","2016A000210","Battery electric","Vans","Number of vehicles","Units","300","units ","0","v1079014898","2.4.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014871","2.5.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014878","2.5.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014885","2.5.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014892","2.5.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014899","2.5.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Plug-in hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014872","2.6.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Plug-in hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014879","2.6.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Plug-in hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014886","2.6.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Plug-in hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014893","2.6.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Plug-in hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014900","2.6.5.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Other fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014873","2.7.1.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Other fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014880","2.7.2.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Other fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014887","2.7.3.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Other fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014894","2.7.4.1","","..","","","0"
"2011","Newfoundland and Labrador","2016A000210","Other fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014901","2.7.5.1","","..","","","0"
"2011","Prince Edward Island","2016A000211","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014902","3.1.1.1","6266","","","","0"
"2011","Prince Edward Island","2016A000211","All fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014909","3.1.2.1","2726","","","","0"
"2011","Prince Edward Island","2016A000211","All fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014916","3.1.3.1","1292","","","","0"
"2011","Prince Edward Island","2016A000211","All fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014923","3.1.4.1","1820","","","","0"
"2011","Prince Edward Island","2016A000211","All fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014930","3.1.5.1","428","","","","0"
"2011","Prince Edward Island","2016A000211","Gasoline","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014903","3.2.1.1","6127","","","","0"
"2011","Prince Edward Island","2016A000211","Gasoline","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014910","3.2.2.1","2655","","","","0"
"2011","Prince Edward Island","2016A000211","Gasoline","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014917","3.2.3.1","1245","","","","0"
"2011","Prince Edward Island","2016A000211","Gasoline","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014924","3.2.4.1","1804","","","","0"
"2011","Prince Edward Island","2016A000211","Gasoline","Vans","Number of vehicles","Units","300","units ","0","v1079014931","3.2.5.1","423","","","","0"
"2011","Prince Edward Island","2016A000211","Diesel","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014904","3.3.1.1","101","","","","0"
"2011","Prince Edward Island","2016A000211","Diesel","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014911","3.3.2.1","43","","","","0"
"2011","Prince Edward Island","2016A000211","Diesel","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014918","3.3.3.1","47","","","","0"
"2011","Prince Edward Island","2016A000211","Diesel","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014925","3.3.4.1","6","","","","0"
"2011","Prince Edward Island","2016A000211","Diesel","Vans","Number of vehicles","Units","300","units ","0","v1079014932","3.3.5.1","5","","","","0"
"2011","Prince Edward Island","2016A000211","Battery electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014905","3.4.1.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Battery electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014912","3.4.2.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Battery electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014919","3.4.3.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Battery electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014926","3.4.4.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Battery electric","Vans","Number of vehicles","Units","300","units ","0","v1079014933","3.4.5.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014906","3.5.1.1","38","","","","0"
"2011","Prince Edward Island","2016A000211","Hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014913","3.5.2.1","28","","","","0"
"2011","Prince Edward Island","2016A000211","Hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014920","3.5.3.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014927","3.5.4.1","10","","","","0"
"2011","Prince Edward Island","2016A000211","Hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014934","3.5.5.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Plug-in hybrid electric","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014907","3.6.1.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Plug-in hybrid electric","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014914","3.6.2.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Plug-in hybrid electric","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014921","3.6.3.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Plug-in hybrid electric","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014928","3.6.4.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Plug-in hybrid electric","Vans","Number of vehicles","Units","300","units ","0","v1079014935","3.6.5.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Other fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014908","3.7.1.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Other fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014915","3.7.2.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Other fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014922","3.7.3.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Other fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014929","3.7.4.1","0","","","","0"
"2011","Prince Edward Island","2016A000211","Other fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014936","3.7.5.1","0","","","","0"
"2011","Nova Scotia","2016A000212","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014937","4.1.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","All fuel types","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014944","4.1.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","All fuel types","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014951","4.1.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","All fuel types","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014958","4.1.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","All fuel types","Vans","Number of vehicles","Units","300","units ","0","v1079014965","4.1.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Gasoline","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014938","4.2.1.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Gasoline","Passenger cars","Number of vehicles","Units","300","units ","0","v1079014945","4.2.2.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Gasoline","Pick up trucks","Number of vehicles","Units","300","units ","0","v1079014952","4.2.3.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Gasoline","Multi-purpose vehicles","Number of vehicles","Units","300","units ","0","v1079014959","4.2.4.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Gasoline","Vans","Number of vehicles","Units","300","units ","0","v1079014966","4.2.5.1","","..","","","0"
"2011","Nova Scotia","2016A000212","Diesel","Total, vehicle type","Number of vehicles","Units","300","units ","0","v1079014939","4.3.1.1","","..","","","0"
