year_num,tm,attend_g,est_payroll,w,l
2006,TOR,28422,71365000,87,75
2006,WSN,26581,63143000,71,91
2007,ARI,28707,52067546,90,72
2007,ATL,33891,87290833,84,78
2007,BAL,26726,93174808,69,93
2007,BOS,36676,143026214,96,66
2007,CHC,40154,101670332,85,77
2007,CHW,33141,108671833,72,90
2007,CIN,25415,68524980,72,90
2007,CLE,28449,61673267,96,66
2007,COL,28979,54041000,90,73
2007,DET,37619,95180369,88,74
2007,FLA,16920,30507000,71,91
2007,HOU,37289,87759000,73,89
2007,KCR,19961,67691500,69,93
2007,LAA,41551,109251333,94,68
2007,LAD,47618,108454524,82,80
2007,MIL,35422,70986500,83,79
2007,MIN,28350,71439500,79,83
2007,NYM,47580,116181663,88,74
2007,NYY,52729,207039045,94,68
2007,OAK,23726,79366940,76,86
2007,PHI,38374,89428213,89,73
2007,PIT,21594,38537833,68,94
2007,SDP,34445,58110567,89,74
2007,SEA,32588,106460833,88,74
2007,SFG,39793,90219056,71,91
2007,STL,43854,90286823,78,84
2007,TBD,17131,24623500,66,96
2007,TEX,29060,68643675,75,87
2007,TOR,29144,81942800,83,79
2007,WSN,23998,36947500,73,89
2008,ARI,30987,66202712,82,80
2008,ATL,31270,102365683,72,90
2008,BAL,24376,67196246,68,93
2008,BOS,37633,133390035,95,67
2008,CHC,40743,120345833,97,64
2008,CHW,30496,121189332,89,74
2008,CIN,25415,74167695,74,88
2008,CLE,26787,78970066,81,81
2008,COL,32719,68655500,74,88
2008,DET,39539,138785196,74,88
2008,FLA,16482,21811500,84,77
2008,HOU,34744,87946807,86,75
2008,KCR,19493,59445500,75,87
2008,LAA,41194,119216333,100,62
2008,LAD,46056,118588536,84,78
2008,MIL,37882,80937499,90,72
2008,MIN,28425,56932766,88,75
2008,NYM,49902,137793376,89,73
2008,NYY,53070,212286789,89,73
2008,OAK,20559,47967126,75,86
2008,PHI,42254,97879880,92,70
2008,PIT,19865,48689783,67,95
2008,SDP,29970,73677616,63,99
2008,SEA,28762,117666482,61,101
2008,SFG,35356,76594500,72,90
2008,STL,42382,99624449,86,76
2008,TBR,22370,44970597,97,65
2008,TEX,24021,68037326,79,83
2008,TOR,29627,97793900,86,76
2008,WSN,29005,54961000,59,102
2009,ARI,26281,75920666,70,92
2009,ATL,29304,99593166,86,76
2009,BAL,23545,69904166,64,98
2009,BOS,37811,125439499,95,67
2009,CHC,39611,139652000,83,78
2009,CHW,28200,101081000,79,83
2009,CIN,21579,78979000,78,84
2009,CLE,21805,85224866,65,97
2009,COL,32902,79250200,92,70
2009,DET,31693,119510145,86,77
2009,FLA,18075,40029000,87,75
2009,HOU,31124,105804414,74,88
2009,KCR,22196,76817333,65,97
2009,LAA,40005,118169000,97,65
2009,LAD,46440,102117592,95,67
2009,MIL,37499,81384502,80,82
2009,MIN,29466,67804266,87,76
2009,NYM,39118,151994237,70,92
2009,NYY,45918,210330039,103,59
2009,OAK,17392,65945000,75,87
2009,PHI,44453,115479046,93,69
2009,PIT,19480,51912500,62,99
2009,SDP,23699,50954200,75,87
2009,SEA,27105,100134166,85,77
2009,SFG,35335,91944450,88,74
2009,STL,41275,90928409,91,71
2009,TBR,23148,67270334,84,78
2009,TEX,26617,79723548,87,75
2009,TOR,23162,83964500,75,87
2009,WSN,22435,64384000,59,103
2010,ARI,25391,61368166,65,97
2010,ATL,30989,84423666,91,71
2010,BAL,21395,81612500,66,96
2010,BOS,37610,164507333,89,73
2010,CHC,37814,146609002,75,87
2010,CHW,27091,107195000,88,74
2010,CIN,25439,75321542,91,71
2010,CLE,17181,61203966,69,93
2010,COL,35497,90677000,83,79
2010,DET,30386,124039928,81,81
2010,FLA,18826,57454719,80,82
2010,HOU,28784,93216000,76,86
2010,KCR,19942,73105210,67,95
2010,LAA,40134,104963866,80,82
2010,LAD,43979,95358016,80,82
2010,MIL,34278,81108278,77,85
2010,MIN,39798,97559166,94,68
2010,NYM,31602,134422942,79,83
2010,NYY,46491,210733389,95,67
2010,OAK,17511,57904900,81,81
2010,PHI,44968,141928379,97,65
2010,PIT,19919,37443000,57,105
2010,SDP,26318,37799300,90,72
2010,SEA,25749,86510000,61,101
2010,SFG,37499,98641333,92,70
2010,STL,40756,93540751,86,76
2010,TBR,23025,71923471,96,66
