REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,GeoUID,Hierarchy for GEO,Classification Code for Labour force characteristics,Hierarchy for Labour force characteristics,Classification Code for Statistics,Hierarchy for Statistics,Classification Code for Data type,Hierarchy for Data type,val_norm,Date,Labour force characteristics,Statistics,Data type
2008-08,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,3.9,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.039,2008-08-01,Unemployment rate,Estimate,Seasonally adjusted
2008-09,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,51.8,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,51800,2008-09-01,Unemployment,Estimate,Seasonally adjusted
2008-09,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.2,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.042,2008-09-01,Unemployment rate,Estimate,Seasonally adjusted
2008-10,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,54.7,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,54700,2008-10-01,Unemployment,Estimate,Seasonally adjusted
2008-10,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.4,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.044000000000000004,2008-10-01,Unemployment rate,Estimate,Seasonally adjusted
2008-11,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,56.1,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,56100,2008-11-01,Unemployment,Estimate,Seasonally adjusted
2008-11,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,4.5,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.045,2008-11-01,Unemployment rate,Estimate,Seasonally adjusted
2008-12,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,70.3,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,70300,2008-12-01,Unemployment,Estimate,Seasonally adjusted
2008-12,"Vancouver, British Columbia",2016S050359933,Percentage,242,units,0,v1235049788,3.5.1.1,5.6,NA,NA,NA,1,59933,3,NA,5,NA,1,NA,1,0.055999999999999994,2008-12-01,Unemployment rate,Estimate,Seasonally adjusted
2009-01,"Vancouver, British Columbia",2016S050359933,Persons,249,thousands,3,v1235049783,3.4.1.1,73.6,NA,NA,NA,1,59933,3,NA,1.2.4,NA,1,NA,1,73600,2009-01-01,Unemployment,Estimate,Seasonally adjusted
